Date,close_without_season
2021-09-27,-3.6530106353759777
2021-09-28,-6.603789749145534
2021-09-29,-3.605801696777334
2021-09-30,-8.673198089599595
2021-10-01,-5.30101158142088
2021-10-04,-6.923498764038101
2021-10-05,-4.030900344848604
2021-10-06,-6.688699722290053
2021-10-07,-9.873200759887682
2021-10-08,-13.174011154174833
2021-10-11,-15.481201705932605
2021-10-12,-19.257608718872092
2021-10-13,-18.649795532226562
2021-10-14,-11.525099716186503
2021-10-15,-5.667607650756821
2021-10-18,-5.0454970550537155
2021-10-19,-4.848609619140632
2021-10-20,-6.309403762817382
2021-10-21,-8.366085927173344
2021-10-22,-8.72369621743961
2021-10-25,-10.215596623371582
2021-10-26,-6.972098032633454
2021-10-27,-8.31213848314789
2021-10-28,-5.69394849249656
2021-10-29,-8.144159991356645
2021-11-01,-6.293138570370871
2021-11-02,-2.3288574931385995
2021-11-03,-1.1297332848443205
2021-11-04,-3.1286104292280186
2021-11-05,0.6353921439431072
2021-11-08,-0.26865874454892946
2021-11-09,-1.9320260424946696
2021-11-10,-2.3209214782714724
2021-11-11,-5.007499956403464
2021-11-12,-7.930566024780262
2021-11-15,-7.044986363852914
2021-11-16,-2.3457025457311858
2021-11-17,1.012108840942389
2021-11-18,0.7399029743822183
2021-11-19,9.255770924886065
2021-11-22,7.122050159008467
2021-11-23,12.593340140894838
2021-11-24,7.418575948079422
2021-11-26,3.891899209924645
2021-11-29,2.9346659088134714
2021-11-30,4.617249798244899
2021-12-01,4.388131428033503
2021-12-02,9.765548008510024
2021-12-03,10.1041588537244
2021-12-06,9.52817871093751
2021-12-07,15.994150346215093
2021-12-08,22.60644299131448
2021-12-09,19.625146167461708
2021-12-10,24.205662860870376
2021-12-13,20.07722380380781
2021-12-14,20.995638791976432
2021-12-15,23.643651937265872
2021-12-16,16.187487538655574
2021-12-17,11.857733578439507
2021-12-20,7.039234934839699
2021-12-21,8.241875535396105
2021-12-22,6.255359409877231
2021-12-23,4.962022212635361
2021-12-27,14.379935223614737
2021-12-28,9.723572199119715
2021-12-29,10.662809952955996
2021-12-30,5.43070858525293
